#VORS text interface (grid = OSG, VO = all, res = 0)
#columns=ID,Name,Gatekeeper,Type,Grid,Status,Last Test Date
305,AGLT2,gate01.aglt2.org:2119,compute,OSG,PASS,2009-02-19 14:38:58
33,BNL_ATLAS_1,gridgk01.racf.bnl.gov:2119,compute,OSG,PASS,2009-02-19 14:41:33
48,BNL_ATLAS_2,gridgk02.racf.bnl.gov:2119,compute,OSG,PASS,2009-02-19 14:45:48
43,BNL_ATLAS_SE,dcsrm.usatlas.bnl.gov,storage,OSG,PASS,2007-11-05 15:00:02
233,BU_ATLAS_Tier2,atlas.bu.edu:2119,compute,OSG,PASS,2009-02-19 14:50:10
313,cinvestav,proton.fis.cinvestav.mx:2119,compute,OSG,PASS,2009-02-19 14:51:31
235,CIT_CMS_T2,cit-gatekeeper.ultralight.org:2119,compute,OSG,PASS,2009-02-19 14:53:52
263,CIT_CMS_T2:srm_v1,cit-se.ultralight.org,storage,OSG,PASS,2007-11-05 15:03:03
377,Clemson-ciTeam,osgce.cs.clemson.edu:2119,compute,OSG,PASS,2009-02-19 14:55:39
344,Clemson-IT,osggate.clemson.edu:2119,compute,OSG,PASS,2009-02-19 15:10:43
396,CLEMSON-Palmetto,osg-gw.clemson.edu:2119,compute,OSG,PASS,2009-02-19 15:11:54
322,FLTECH,uscms1.fltech-grid3.fit.edu:2119,compute,OSG,PASS,2009-02-19 15:26:58
10,FNAL_FERMIGRID,fermigridosg1.fnal.gov:2119,compute,OSG,PASS,2009-02-19 15:30:05
378,FNAL_GPGRID_1,fnpcosg1.fnal.gov:2119,compute,OSG,PASS,2009-02-19 15:32:46
321,GLOW,cmsgrid01.hep.wisc.edu:2119,compute,OSG,PASS,2009-02-19 15:35:26
340,GLOW-ATLAS,higgs08.cs.wisc.edu:2119,compute,OSG,PASS,2009-02-19 15:43:24
29,GLOW-CMS,cmsgrid02.hep.wisc.edu:2119,compute,OSG,PASS,2009-02-19 15:45:44
27,GLOW-CMS-SE,cmssrm.hep.wisc.edu,storage,OSG,FAIL,2007-11-05 15:04:51
392,GLOW_MINIOSG_UCSB,quiver.mrl.ucsb.edu:2119,compute,OSG,PASS,2009-02-19 15:52:26
393,GPN-HUSKER,gpn-husker.unl.edu:2119,compute,OSG,PASS,2009-02-19 15:53:29
394,GPN_KSU_CLUSTER,cluster.greatplains.net:2119,compute,OSG,PASS,2009-02-19 15:55:08
391,Gridplexus,CE01.OSG.gridplexus.net:2119,compute,OSG,PASS,2009-02-19 15:58:44
42,HEPGRID_UERJ,osgce.hepgrid.uerj.br:2119,compute,OSG,PASS,2009-02-19 16:13:48
390,HU_ATLAS_Tier2,heroatlas.fas.harvard.edu:2119,compute,OSG,PASS,2009-02-19 16:18:28
383,IllinoisHEP,osgx0.hep.uiuc.edu:2119,compute,OSG,PASS,2009-02-19 16:20:55
297,isuhep,turner.physics.iastate.edu:2119,compute,OSG,PASS,2009-02-19 16:24:01
337,IU_OSG,m3.quarry.teragrid.iu.edu:2119,compute,OSG,PASS,2009-02-19 16:29:04
